AnneeChiffre;Date_Naissance;LieuNaissance;Sexe;Jugement;DateJugement;Centre
2019;04/12/2009;METH;Masculin;Oui;06/11/2017;Principal
2019;25/11/2018;DIENDER;Feminin;Non;NULL;Principal
2019;07/07/2011;METH;Feminin;Oui;06/11/2017;Principal
2019;18/11/2018;SOUMBEL KEUR LATYR;Masculin;Non;NULL;Principal
2019;03/04/2009;METH;Masculin;Oui;06/11/2017;Principal
2019;13/01/2019;GOSSAS VILLAGE;Masculin;Non;NULL;Principal
2019;27/12/2018;PATAR LIA;Masculin;Non;NULL;Principal
2019;02/05/2009;METH;Feminin;Oui;06/11/2017;Principal
2019;03/03/2004;METH;Masculin;Oui;06/11/2017;Principal
2019;17/09/2018;KEUR NDIOUGA;Feminin;Non;NULL;Principal
2019;03/01/2006;METH;Masculin;Oui;06/11/2017;Principal
2019;06/09/2009;METH;Masculin;Oui;06/11/2017;Principal
2019;15/11/2018;DIAMBEYE;Masculin;Non;NULL;Principal
2019;30/12/2018;KEUR YABY;Feminin;Non;NULL;Principal
2019;31/01/2007;SOMB;Feminin;Oui;13/02/2019;Principal
2019;08/10/2018;NDIEBEL;Masculin;Non;NULL;Principal
2019;14/12/2018;GOSSAS VILLAGE;Masculin;Non;NULL;Principal
2019;20/01/2007;SOMB;Feminin;Oui;13/02/2019;Principal
2019;03/06/2018;NDIEBEL;Masculin;Non;NULL;Principal
2019;25/01/2007;SOMB;Feminin;Oui;13/02/2019;Principal
2019;04/06/2018;SOUMBEL KEUR LATYR;Masculin;Non;NULL;Principal
2019;18/02/2007;SOMB;Feminin;Oui;13/02/2019;Principal
2019;03/07/2018;SOUMBEL KEUR LATYR;Masculin;Non;NULL;Principal
2019;12/12/2018;MBENGANE;Feminin;Non;NULL;Principal
2019;14/02/2007;SOMB;Masculin;Oui;13/02/2019;Principal
2019;05/01/2008;SOMB;Masculin;Oui;13/02/2019;Principal
2019;02/03/2005;NDIOUBEL SINE;Masculin;Oui;09/02/2017;Principal
2019;01/12/2018;SOUMBEL KEUR LATYR;Feminin;Non;NULL;Principal
2019;18/12/2018;SOUMBEL KEUR LATYR;Masculin;Non;NULL;Principal
2019;15/02/2007;SOMB;Masculin;Oui;13/02/2019;Principal
2019;19/01/2019;METH;Masculin;Non;NULL;Principal
2019;02/04/2000;BOUNE FASSOW;Feminin;Oui;13/02/2019;Principal
2019;18/01/2019;FISSEL;Feminin;Non;NULL;Principal
2019;21/02/2007;KEUR MEDOUNE;Masculin;Oui;13/02/2019;Principal
2019;21/11/2018;KEUR NDIOUGA;Masculin;Non;NULL;Principal
2019;01/01/2008;FISSEL1;Masculin;Oui;13/02/2019;Principal
2019;24/09/2018;KEUR NDIOUGA;Feminin;Non;NULL;Principal
2019;24/12/2018;SOMB;Feminin;Non;NULL;Principal
2019;15/08/2014;NDIOURBEL SINE;Feminin;Oui;13/02/2019;Principal
2019;26/01/2019;KEUR YORO;Feminin;Non;NULL;Principal
2019;16/12/2018;KEUR NDIOUGA;Feminin;Non;NULL;Principal
2019;29/05/2018;PATAR LIA;Feminin;Non;NULL;Principal
2019;20/02/2019;DIENDER2;Masculin;Non;NULL;Principal
2019;07/12/2018;KEUR SERIGNE NDIAKHATE;Feminin;Non;NULL;Principal
2019;03/12/2018;FISSEL 2;Feminin;Non;NULL;Principal
2019;20/04/2018;DIENDER;Masculin;Non;NULL;Principal
2019;12/02/2011;SOMB;Masculin;Oui;09/02/2017;Principal
2019;12/03/2007;SOMB;Masculin;Oui;09/02/2017;Principal
2019;02/02/2009;METH;Masculin;Oui;06/11/2017;Principal
2019;09/02/2019;BOUNE FASSOW;Feminin;Non;NULL;Principal
2019;29/11/2018;SOUMBEL KEUR LATYR;Masculin;Non;NULL;Principal
2019;12/03/1997;NDIOURBEL SINE;Masculin;Oui;16/01/2019;Principal
2019;16/02/2019;PATAR LIA;Masculin;Non;NULL;Principal
2019;06/02/2019;GASSEL;Masculin;Oui;NULL;Principal
2019;22/12/2018;KEUR AMADOU DIOP;Feminin;Non;NULL;Principal
2019;12/01/2014;NDIOURBEL SINE;Feminin;Oui;20/02/2019;Principal
2019;06/02/2019;GAZELLE;Masculin;Non;NULL;Principal
2019;07/12/2018;KEUR YABI;Feminin;Non;NULL;Principal
2019;15/05/2018;FISSEL;Masculin;Non;NULL;Principal
2019;17/04/1990;FISSEL;Masculin;Non;NULL;Principal
2019;01/01/1998;DAROU SINE;Masculin;Oui;20/02/2019;Principal
2019;23/05/2007;METH;Masculin;Oui;22/05/2019;Principal
2019;18/04/2019;NDIOURBEL SINE;Feminin;Non;NULL;Principal
2019;02/03/2007;DIOURBEL SINE;Feminin;Non;NULL;Principal
2019;18/04/2018;SOUMBEL KEUR LATYR;Feminin;Non;NULL;Principal
2019;22/10/2018;SOMB;Masculin;Non;NULL;Principal
2019;05/06/2019;MBEGHANE;Feminin;Oui;NULL;Principal
2019;17/04/2019;BANANE;Masculin;Non;NULL;Principal
2019;12/01/2019;NDOCK TAMSIR;Feminin;Non;NULL;Principal
2019;02/02/2008;NDOCK SARE;Masculin;Oui;16/01/2019;Principal
2019;06/11/2018;SOUMBEL KEUR LATYR;Feminin;Non;NULL;Principal
2019;05/05/2019;TOUNE;Masculin;Non;NULL;Principal
2019;11/04/2019;PATAR LIA;Masculin;Non;NULL;Principal
2019;07/10/2018;TOUBA SINE;Feminin;Non;NULL;Principal
2019;12/01/2007;BADIARA;Masculin;Oui;16/01/2019;Principal
2019;27/05/2019;KEUR AMADOU DIOUF;Feminin;Non;NULL;Principal
2019;12/04/2019;MBEGANE;Masculin;Non;NULL;Principal
2019;25/07/2018;KEUR AMADOU DIOP;Masculin;Non;NULL;Principal
2019;24/10/2018;KEUR NDIOUGA;Masculin;Non;NULL;Principal
2019;09/04/2019;SAKHMACK;Masculin;Non;NULL;Principal
2019;15/05/2007;FISSEL 2;Masculin;Oui;16/01/2019;Principal
2019;29/10/2007;GOSSAS VILLAGE;Masculin;Oui;20/02/2019;Principal
2019;16/06/2019;DOUMBEL KEUR LATYR;Masculin;Non;NULL;Principal
2019;12/03/2019;DAROU SINE;Masculin;Non;NULL;Principal
2019;26/12/2018;GOSSAS VILLAGE;Feminin;Non;NULL;Principal
2019;15/10/2018;NDOCK DIOUMA LEOUROU;Masculin;Non;NULL;Principal
2019;17/04/2019;BADIARA;Masculin;Non;NULL;Principal
2019;02/02/2000;KEUR NDIOUGA;Masculin;Oui;20/02/2019;Principal
2019;18/12/2018;FISSEL 2;Feminin;Non;NULL;Principal
2019;02/02/2007;BOUSTANE DIAW;Masculin;Oui;16/01/2019;Principal
2019;02/02/2008;SOUMBEL KEUR LATYR;Feminin;Oui;06/02/2019;Principal
2019;09/03/2019;NDIOURBEL SINE;Feminin;Non;NULL;Principal
2019;30/05/2019;KEUR YABY;Feminin;Non;NULL;Principal
2019;20/12/2018;KEUR MACODOU;Masculin;Non;NULL;Principal
2019;10/12/2018;BANANE;Masculin;Non;NULL;Principal
2019;03/04/2007;BOUSTANA DIAW;Masculin;Oui;16/01/2019;Principal
2019;20/04/2019;NDOCK PEULL;Feminin;Non;NULL;Principal
2019;10/03/2002;SOUMBEL KEUR LATYR;Feminin;Oui;20/02/2019;Principal
2019;24/04/2019;BANANE;Feminin;Non;NULL;Principal
2019;01/01/2013;NDIOURBEL SINE;Masculin;Oui;06/02/2019;Principal
2019;14/11/2018;FISSEL 2;Masculin;Non;NULL;Principal
2019;04/04/2019;BOUNE FASSOW;Feminin;Non;NULL;Principal
2019;01/01/2019;BANANE;Feminin;Non;NULL;Principal
2019;02/03/2008;SOUMBEL KEUR LATYR;Masculin;Oui;20/02/2019;Principal
2019;05/12/2006;BOUSTANE DIAW;Feminin;Oui;16/01/2019;Principal
2019;12/02/2008;TOUNE;Masculin;Oui;06/02/2019;Principal
2019;19/05/2019;NDOCK SARE;Masculin;Non;NULL;Principal
2019;26/03/2019;METH;Feminin;Non;NULL;Principal
2019;19/06/2018;SOUMBEL KEUR LATYR;Masculin;Non;NULL;Principal
2019;03/04/2007;BOUSTANE DIAW;Masculin;Oui;16/01/2019;Principal
2019;29/01/2019;NDOCK SARE;Feminin;Non;NULL;Principal
